"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"40",76.330002,77.139999,76.059998,77.059998,1485100,67.565926
"41",76.589996,77.220001,75.470001,76.220001,1296500,66.82942
"42",76.68,77.099998,76.489998,77,907700,67.51332
"43",76.169998,77.480003,75.839996,76.93,1318800,67.451945
"44",75.510002,75.629997,74.309998,75.400002,1400500,66.110447
"45",74.290001,74.980003,73.82,74.699997,1399500,65.496686
"46",74.309998,75.790001,74.150002,75.68,1588500,66.355949
"47",74.839996,76.57,74.510002,75.900002,1070500,66.548845
"48",76.720001,77.839996,76.57,76.720001,1754500,67.267818
"49",76.809998,77.32,76.290001,77.029999,1027100,67.539623
"50",76.68,76.68,74.18,75.589996,1834000,66.277034
"51",75,75.5,74.300003,75.010002,1042100,65.768497
"52",75.610001,76.099998,74.580002,74.690002,876700,65.487923
"53",73.970001,74.800003,73.269997,73.839996,1522700,64.74264
"54",73.309998,73.870003,72.809998,73.550003,1673400,64.488375
"55",74.190002,74.589996,73.540001,73.559998,1205500,64.497138
"56",74.209999,74.529999,73.459999,74.419998,1671700,65.251184
"57",74.120003,74.540001,73.699997,73.699997,1204900,64.619889
"58",73.459999,74.339996,73.449997,74.029999,1216300,64.909234
"59",74.970001,74.970001,74.040001,74.75,2487600,65.540528
"60",75.209999,77.300003,74.75,77.190002,2083300,67.679914
"61",77.989998,78.040001,77.309998,78.040001,1513000,68.425189
"62",77.800003,78,76.860001,77.379997,1156000,67.8465
"63",77.300003,78.849998,77.120003,77.790001,1740100,68.20599
"64",78.510002,79.309998,77.830002,77.949997,1238900,68.346274
"65",78.07,78.370003,77.800003,77.949997,920900,68.346274
"66",78.699997,78.970001,78.239998,78.779999,1105200,69.074017
"67",78.730003,80.830002,78.660004,80.209999,2794800,70.327836
"68",79.879997,81.599998,79.470001,81.379997,1793500,71.353686
"69",80.839996,82,80.199997,81.75,1910600,71.678103
"70",82.459999,82.589996,81.709999,82.199997,2845900,72.072659
"71",82.330002,83.260002,82.080002,83.050003,1298100,72.817941
"72",83.040001,83.449997,82.510002,83,1634300,72.774098
"73",83.07,83.379997,82.470001,83.18,1299900,72.931922
"74",82.370003,83.529999,82.269997,82.940002,1392200,72.721493
"75",83.870003,84.43,83.5,84.199997,1263700,73.826251
"76",84.080002,84.25,83.709999,83.860001,1474600,73.528144
"77",84,84.059998,82.669998,83.970001,1059800,73.624592
"78",83.269997,83.300003,82.199997,82.849998,1057000,73.068965
"79",83.160004,84.279999,82.550003,82.82,1526100,73.042508
"80",83.220001,84,82.519997,83.019997,1508300,73.218894
"81",82.940002,83,81.879997,82.07,943800,72.381051
"82",82.919998,84.290001,82.900002,84.199997,1069400,74.259587
"83",84.080002,84.559998,83.709999,84.019997,1277400,74.100837
"84",84.400002,84.690002,82.330002,82.410004,1835500,72.680915
"85",82.389999,82.919998,82.370003,82.699997,1382100,72.936673
"86",82.889999,83.330002,82.300003,82.529999,1154600,72.786744
"87",82.18,82.720001,81.699997,82.580002,1290700,72.830844
"88",82.980003,83.220001,82.290001,82.910004,1570500,73.121886
"89",82.040001,82.860001,81.419998,82.099998,939900,72.407508
"90",82.860001,82.949997,81.32,81.660004,1353800,72.019458
"91",81.790001,83.010002,81.730003,82.949997,888800,73.157158
"92",81.879997,82.260002,80.900002,81.300003,873000,71.701958
"93",81.650002,83.220001,81.459999,83.099998,779400,73.289451
"94",83.760002,84.959999,83.220001,84.93,1914600,74.903408
"95",84.75,84.900002,84.43,84.739998,679800,74.735837
"96",84.919998,86.5,84.629997,85.739998,1164600,75.61778
"97",85.260002,85.779999,84.5,85.699997,696900,75.582501
"98",85.07,85.169998,83.800003,84.169998,1529500,74.23313
"99",84.769997,85.75,84.349998,85.150002,741200,75.097437
"100",84.879997,85.669998,84.440002,84.970001,995800,74.938687
"101",85.5,86.099998,84.559998,84.949997,449400,74.921044
"102",85.68,86.860001,85.68,86.360001,750700,76.164587
"103",86.5,86.5,84.290001,85.459999,833400,75.370837
"104",86.629997,86.870003,86.080002,86.860001,998000,76.605558
"105",86.870003,87.099998,86.209999,86.650002,529300,76.420351
"106",86.370003,87.410004,86.339996,87.209999,777900,76.914237
"107",87.599998,87.68,85.239998,85.580002,758100,75.476672
"108",85.519997,85.940002,84.410004,85.269997,815400,75.203265
"109",84.160004,85.589996,84.019997,85.489998,704500,75.397294
"110",84.440002,85.139999,83.089996,84,843400,74.083201
"111",84.209999,85.139999,83.849998,84.519997,701000,74.541808
"112",83.709999,84.050003,82.93,83.209999,931700,73.386465
"113",83.510002,84.529999,83.129997,83.739998,1046100,73.853894
"114",84.68,86.099998,84.669998,85.650002,922600,75.538408
"115",85.879997,86.019997,85.269997,86.010002,987800,75.855908
"116",83.519997,85.610001,83.519997,85.5,663600,75.406115
"117",84.589996,84.82,83.089996,84.57,2152700,74.585908
"118",83.599998,86.690002,83.599998,86.550003,1291900,76.332158
"119",85.949997,85.949997,85.410004,85.620003,340200,75.511951
"120",84.93,86.059998,82.860001,85.82,1025900,75.688337
"121",84.699997,86.400002,84.699997,86.220001,878000,76.041115
"122",87.889999,88.220001,86.18,86.389999,1611100,76.191044
"123",86.599998,88.669998,86.559998,88.629997,1238100,78.166594
"124",88.139999,88.290001,87.080002,87.610001,1081200,77.267015
"125",87.690002,87.959999,87.419998,87.690002,550000,77.337572
