"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"166",74.019997,74.559998,73.900002,74.290001,4063600,65.313536
"167",74.459999,74.599998,73.599998,74.339996,2959000,65.35749
"168",74.25,74.440002,73.550003,74.25,4781300,65.278368
"169",74.110001,74.580002,73.839996,74.470001,2959400,65.471787
"170",74.190002,74.580002,73.459999,74.580002,3056400,65.568496
"171",73.690002,75,73.559998,74.769997,5216900,66.197085
"172",74.650002,75.629997,74.389999,75.32,4248300,66.684027
"173",75.099998,75.32,74.589996,74.800003,3273900,66.223651
"174",74.779999,75.190002,74.190002,74.800003,3874900,66.223651
"175",74.860001,75.800003,74.860001,75.660004,4256300,66.985047
"176",75.330002,76.389999,75.169998,76.330002,3835700,67.578225
"177",76.470001,77,76.089996,76.470001,5038700,67.702172
"178",75.580002,75.870003,74.309998,74.610001,5887000,66.055434
"179",74.75,75.300003,72.830002,73.470001,7181200,65.046144
"180",73.230003,74.169998,73.019997,73.68,5193800,65.232065
"181",73.980003,74.050003,73.300003,73.459999,3729300,65.037288
"182",73.779999,74.379997,73.459999,73.800003,3680100,65.338308
"183",73.760002,73.949997,71.959999,72.349998,6660100,64.054557
"184",72.150002,72.900002,71.269997,72.269997,6457400,63.983728
"185",72.75,73.720001,72.529999,73.459999,3913700,65.037288
"186",73.559998,73.650002,71.629997,72.440002,4913300,64.134242
"187",72.669998,72.940002,71.279999,71.800003,3597400,63.567623
"188",72.169998,73.279999,71.870003,72.82,3889800,64.470669
"189",72.470001,73.540001,72.029999,73.25,4058300,64.851367
"190",72.360001,73.769997,72.25,73.110001,4873500,64.72742
"191",73,74.519997,73,74.089996,4736900,65.595052
"192",73.339996,73.610001,72.300003,73.190002,4789700,64.798249
"193",71.900002,72.279999,71.43,71.809998,5519100,63.576471
"194",71.760002,71.779999,70.209999,70.379997,7607300,62.310431
"195",72.610001,72.800003,71.160004,71.610001,8259800,63.399405
"196",72.580002,72.599998,71.279999,71.599998,5949600,63.39055
"197",72.57,73.400002,72.339996,72.839996,3825300,64.488373
"198",72.790001,72.919998,71.849998,72.050003,3932800,63.788958
