"","PCLN.Open","PCLN.High","PCLN.Low","PCLN.Close","PCLN.Volume","PCLN.Adjusted"
"878",1181.160034,1182.900024,1171.119995,1176.47998,483200,1176.47998
"879",1171.589966,1184.98999,1166.540039,1181.670044,462700,1181.670044
"880",1180.689941,1180.939941,1169.939941,1174.390015,383700,1174.390015
"881",1189,1189,1172.76001,1180.400024,417000,1180.400024
"882",1183.060059,1187,1174.699951,1178.680054,482400,1178.680054
"883",1178,1192.26001,1175.619995,1188.920044,438700,1188.920044
"884",1192.589966,1198.5,1175.099976,1178.109985,581900,1178.109985
"885",1174.560059,1183.469971,1171.02002,1175.23999,404900,1175.23999
"886",1182.030029,1182.050049,1169.180054,1171.27002,485300,1171.27002
"887",1170.599976,1178.660034,1168,1174.25,430700,1174.25
"888",1174.089966,1175,1156.209961,1160.900024,593200,1160.900024
"889",1161.430054,1188.619995,1145,1187.98999,878400,1187.98999
"890",1187.900024,1194,1183.719971,1191.569946,602700,1191.569946
"891",1194.75,1196.689941,1188.900024,1190.949951,775800,1190.949951
"892",1194.469971,1194.469971,1180.040039,1187.25,512500,1187.25
"893",1185.579956,1188.400024,1179.800049,1179.900024,254600,1179.900024
"894",1183.199951,1189.849976,1178.079956,1189.849976,308100,1189.849976
"895",1191.709961,1191.73999,1168.660034,1170.310059,516200,1170.310059
"896",1172.349976,1172.349976,1151,1152.890015,645700,1152.890015
