"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"595",86.370006,86.720007,86.199995,86.66,1265400,76.063408
"596",86.749999,87.550002,86.639995,87.439998,1098500,76.74803
"597",87.300003,87.800001,87.029998,87.680003,1365700,76.958687
"598",87.499997,87.619996,86.580004,86.88,2140300,76.256507
"599",86.69,86.83999,85.899999,86.540002,1862400,75.958083
"600",85.970001,86.429998,85.260005,85.939993,2002800,75.431442
"601",86.429998,86.88,84.009999,84.219997,3422000,73.921763
"602",84.460002,84.969995,82.419996,82.83999,3798800,72.710501
"603",82.869998,83.010001,82.26999,82.749999,2229300,72.631514
"604",82.760002,83.54,82.600001,83.449993,2744400,73.245914
"605",83.389994,84.169992,83.05999,83.76,2136500,73.518014
"606",84.260007,84.470004,83.270003,83.339997,1902200,73.149368
"607",83.040001,83.360002,82.859995,83.13,1411500,72.965049
"608",83.309998,83.749997,83.069993,83.429996,1192800,73.228362
"609",83.069993,83.379991,82.149999,83.089998,2042500,72.929938
"610",82.790002,83.710003,82.600001,82.600001,1816700,72.499857
"611",82.499992,83.500006,82.499992,83.13,1888400,72.965049
"612",83.120005,83.76,82.769997,83.639993,1508100,73.412681
"613",83.379991,84.749995,83.379991,84.389992,2266000,74.070972
"614",84.55,84.739993,83.589989,83.860001,2540000,73.605787
"615",83.849999,84.160005,83.399996,83.829994,2072500,73.579449
"616",84.069999,85.030002,83.809989,85.030002,2984000,74.632723
"617",85.499994,86.22,85.410003,86.000001,2462000,75.484112
"618",85.889997,86.289994,85.519991,86.22,1978600,75.677211
"619",86.44,86.47,85.769998,86.279992,1151900,75.729866
"620",86.47,87.339997,86.350001,87.339997,727100,76.660256
"621",86.999998,86.999998,86.22,86.379993,1814800,75.81764
"622",86.570001,86.829995,85.519991,85.580006,2210100,75.115473
"623",85.699988,86.309999,85.459999,86.03,2348100,75.510443
"624",86.019998,86.239997,85.449997,85.669997,2328100,75.19446
"625",85.729996,86.019998,85.459999,85.719993,3149300,75.238344
"626",85.830005,86.099994,85.309993,85.690002,1959000,75.212019
"627",85.519991,86.000001,85.150001,85.81,2771000,75.317344
"628",85.199997,85.499994,84.690004,84.839994,1855400,75.113701
"629",84.889999,85.179992,84.569998,84.99,1478700,75.24651
"630",85.050007,85.929991,85.040005,85.910002,1417000,76.06104
"631",85.739999,85.899999,85.390006,85.709991,1480500,75.883959
"632",85.899999,86.099994,85.560001,85.780001,1615600,75.945943
"633",86.000001,86.059992,85.319996,85.499994,1905800,75.698037
"634",85.499994,86.209998,85.440002,85.780001,1574400,75.945943
"635",85.580006,85.989998,84.889999,85.050007,2148500,75.299638
"636",85.179992,85.600003,85.02,85.519991,1985600,75.715741
"637",85.519991,86.429998,85.179992,86.160009,2476300,76.282386
"638",86.160009,86.269989,84.940003,85.000003,1450700,75.255366
"639",85.050007,85.400008,84.690004,84.94999,1514200,75.211087
"640",84.729998,85.000003,83.900003,84.049994,4432100,74.414269
"641",83.670001,83.989994,83.609994,83.789999,756000,74.184081
"642",83.769994,84.089996,83.270003,83.490003,1405900,73.918477
"643",83.490003,84.009999,83.179997,83.930003,1555100,74.308034
"644",83.639993,84.059996,83.120005,83.13,1256100,73.599746
"645",82.790002,84.449999,82.709989,84.430002,1773600,74.750712
"646",85.370001,86.399998,85.000003,86.379993,2701400,76.477151
"647",86.499991,86.499991,85.699988,86.010003,1875300,76.149577
"648",86.179998,86.379993,85.59,86.360004,1776400,76.459453
"649",85.919988,85.939993,84.379989,84.460002,2791700,74.777272
"650",84.279996,84.58,83.92,84.029988,2512100,74.396557
"651",84.309996,84.859999,84.029988,84.609992,1923800,74.910067
"652",84.789997,85.079999,84.449999,84.930001,1996900,75.19339
"653",85.099996,85.279994,84.710001,85.099996,1313000,75.343896
"654",85.24,85.839992,85.050007,85.65,1348100,75.830846
"655",85.660002,86.000001,85.309993,85.699988,1560600,75.875104
"656",85.679999,85.679999,85.189995,85.489991,1293600,75.689181
"657",85.729996,86.669995,85.59,86.330004,1252200,76.432893
"658",86.480002,86.849992,86.000001,86.819993,1652400,76.866708
"659",86.83999,87.300003,86.550004,87.199993,1446400,77.203144
"660",86.859995,87.619996,86.859995,86.999998,1731400,77.026077
"661",86.999998,87.239995,86.140004,86.580004,2541500,76.654232
"662",87.609993,87.690006,86.03,86.260003,3350400,76.370916
"663",86.459997,86.989996,86.260003,86.800004,2149800,76.84901
"664",86.58999,88.449998,86.58999,88.14,3106600,78.035385
"665",88.099998,88.889998,87.910005,88.150002,2004500,78.044241
"666",88.199999,89.599994,87.519994,89.509996,4445400,79.248321
"667",89.879994,90.19,89.679999,90.010003,3221400,79.691006
"668",89.419997,89.899999,89.220002,89.299998,1651300,79.062398
"669",89.70999,90.800003,89.690001,90.239997,2294200,79.894633
"670",89.859996,90.930004,89.360005,90.900004,2033600,80.478975
"671",90.779998,91.160006,90.44,90.980001,1929600,80.549801
"672",90.980001,91.569999,90.629992,90.900004,1723300,80.478975
"673",90.239997,90.920002,90.209997,90.399998,1917000,80.036291
"674",90.540001,90.580003,89.750001,89.899999,2045600,79.593613
"675",89.849994,90.079996,89.379995,89.889996,1971200,79.584757
"676",89.869999,90.540001,89.790003,90.19,1891900,79.850368
"677",90.429997,91.269994,90.260002,91.199993,2296800,80.744572
"678",91.330002,92.220004,91.309997,92.210001,2494400,81.63879
"679",92.210001,92.669998,91.729999,91.739994,2570700,81.222666
"680",91.509999,92.269992,91.129999,91.86,1856000,81.328915
"681",91.879997,94.510001,91.879997,94.499998,4916300,83.666256
"682",94.609994,95.900002,94.239988,94.239988,4927200,83.436054
"683",94.360003,95.040007,93.819994,94.219999,4043800,83.418357
"684",93.999999,95.470005,93.739997,95.189998,1917700,84.277152
"685",95.179995,95.910004,94.279999,94.279999,2935200,83.471478
"686",94.219999,94.559998,93.75,94.300004,2423100,83.489189
"687",94.300004,95.049994,94.169995,95.040007,1634300,84.144357
"688",95.360001,96.499994,95.360001,95.870002,2001800,84.879199
"689",95.250005,95.45,94.399997,94.639994,1732600,84.504179
"690",94.800003,95.219997,93.97,93.97,2118100,83.90594
"691",94.320001,94.379992,93.619999,94.19,2415100,84.102378
"692",94.230002,94.680004,93.790002,93.880001,2316700,83.82558
"693",93.679998,94.419994,93.619999,94.079996,2002100,84.004155
"694",93.999999,94.239988,93.299998,93.399999,2203800,83.396986
"695",93.639996,94.069993,93.599994,93.78,1953600,83.736288
"696",93.519998,93.980002,92.660003,93.260004,3452500,83.271983
"697",92.199998,93.209999,91.910005,92.9,2265100,82.950536
"698",92.9,93.999999,92.889998,93.899998,1942600,83.843435
"699",94.039994,95.749996,94.029991,95.539998,2866400,85.307794
"700",95.309996,95.349998,94.309998,94.929996,2827400,84.763121
"701",94.999997,95.900002,94.959995,95.660005,1775400,85.414948
"702",95.900002,95.949991,94.439999,94.540001,2975700,84.414894
"703",94.989995,97.379994,94.989995,97.320002,3543500,86.897162
"704",96.750002,97.16001,96.369993,96.910002,2033500,86.531072
"705",96.669997,97.989996,96.470002,97.980002,2462300,87.486476
"706",97.570002,98.110003,97.299997,97.929997,1625200,87.441827
"707",98.290001,99.889999,97.809991,99.790005,2701900,89.102631
"708",99.879996,100.000003,97.550005,97.890003,2885300,87.406116
"709",98.150005,98.609994,97.849993,98.470006,1896300,87.924002
"710",97.609996,99.709993,97.350002,99.309996,2981700,88.674029
"711",99.120003,99.449999,98.230001,99.449999,1484900,88.799039
"712",99.399994,99.559987,98.749997,99.309996,1617900,88.674029
"713",99.620002,100.449997,99.440004,100.299999,1800600,89.558005
