"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"400",50.830002,50.84,50.18,50.380001,9565600,24.324779
"401",50.779999,50.799999,50.02,50.310001,10567600,24.290981
"402",50.369999,50.790001,50.23,50.700001,6595600,24.479283
"403",50.810001,51.25,50.720001,51.150002,7276400,24.696555
"404",50.98,51.490002,50.849998,51.150002,5981200,24.696555
"405",51.610001,52.060001,51.360001,51.66,7340800,24.942795
"406",51.599998,51.869999,51.259998,51.490002,7789200,24.860716
"407",51.639999,51.740002,50.400002,51.130001,12970000,24.686898
"408",51.02,51.630001,50.970001,51.529999,9451200,24.880028
"409",51.639999,51.77,51.16,51.709999,5912400,24.966936
"410",51.57,52.099998,51.560001,52.02,8512000,25.116613
"411",51.84,52.470001,51.720001,52.380001,7203200,25.290431
"412",52.709999,52.709999,51.52,51.630001,10677600,24.928311
"413",51.619999,51.799999,50.84,51.09,9298400,24.667585
"414",50.84,51,50.259998,50.700001,8979200,24.479283
"415",50.900002,51,50.07,50.82,8603200,24.537221
"416",51.009998,51.639999,50.970001,51.23,9012800,24.73518
"417",52.040001,52.529999,51.09,51.189999,11444000,24.715867
"418",51.889999,52.32,51.389999,51.759998,10136800,24.991077
"419",51.639999,51.66,50.91,51.32,8605200,24.778634
"420",51.240002,52.080002,51.240002,51.970001,6629600,25.092472
"421",51.950001,52.209999,51.310001,51.639999,5917600,24.933139
"422",51.610001,51.919998,51.470001,51.860001,5170400,25.039361
"423",51.400002,51.970001,51.18,51.950001,4486800,25.082815
"424",52.150002,52.240002,51.380001,51.939999,6966400,25.077986
"425",51.669998,51.98,51.470001,51.900002,6106000,25.058674
"426",51.900002,52,50.970001,51.23,5545600,24.802083
"427",51.459999,52,51.360001,51.580002,5265600,24.971531
"428",51.5,52.029999,51.25,51.830002,8270000,25.092564
"429",51.919998,52.200001,51.75,52.049999,6660000,25.199071
"430",52.16,53.619999,52.16,52.939999,10400800,25.629949
"431",53.040001,53.310001,52.689999,52.689999,7432000,25.508916
"432",52.68,52.98,52.52,52.790001,4233200,25.55733
"433",52.599998,53.290001,52.380001,53.09,5790800,25.702569
"434",53.02,53.709999,52.830002,53.59,8098000,25.944635
"435",53.439999,53.5,53.119999,53.330002,7358800,25.818762
"436",54.220001,54.27,53.799999,54.25,6791600,26.264162
"437",54.220001,54.259998,53.630001,53.900002,7814800,26.094717
"438",53.68,55.049999,53.509998,54.93,8702800,26.593372
"439",54.639999,54.98,54.610001,54.73,6799200,26.496545
"440",54.709999,55.119999,54.209999,54.93,4882000,26.593372
"441",55.220001,55.610001,55.139999,55.360001,4502800,26.801549
"442",55.59,56.220001,55.419998,55.98,3940400,27.10171
