"","FSLR.Open","FSLR.High","FSLR.Low","FSLR.Close","FSLR.Volume","FSLR.Adjusted"
"446",27.190001,28.139999,27.110001,27.84,3725600,27.84
"447",28.379999,29.370001,28.08,29.08,5218700,29.08
"448",28.98,29.629999,28.360001,28.67,3213800,28.67
"449",28.309999,28.620001,27.08,27.459999,6257300,27.459999
"450",27.25,27.43,25.73,26.33,7185300,26.33
"451",26.33,27.35,26.299999,26.950001,4905700,26.950001
"452",26.84,26.98,25.85,26.110001,4857000,26.110001
"453",26.43,26.99,26.219999,26.42,3330200,26.42
"454",26.25,26.85,26.01,26.110001,3270400,26.110001
"455",26.059999,26.23,24.5,25.07,6851200,25.07
"456",24.83,25.32,24.5,25.120001,4396400,25.120001
"457",25.290001,25.469999,24.610001,25.049999,2697700,25.049999
"458",25.139999,25.16,24.51,24.530001,3485700,24.530001
"459",24.299999,24.35,22.42,22.6,8703300,22.6
"460",22.09,23.049999,21.5,21.73,8950700,21.73
"461",21.65,22,20.5,20.98,8571300,20.98
"462",20.49,20.92,20.049999,20.190001,4722700,20.190001
"463",20.16,21.84,20.02,21.379999,9073000,21.379999
"464",21.700001,23.879999,21.370001,22.5,13873700,22.5
"465",22.620001,22.959999,21.6,22,7500300,22
"466",21.82,22.469999,20.75,20.83,6335100,20.83
"467",21.309999,21.549999,20.549999,20.82,5223600,20.82
"468",21.629999,23.799999,20.530001,22.959999,16783500,22.959999
"469",23.700001,23.75,21.280001,21.360001,9733900,21.360001
"470",21.299999,21.879999,20.99,21.4,5284000,21.4
"471",21.469999,22.08,20.6,20.65,7116200,20.65
"472",20.01,20.129999,18.969999,19.25,6200500,19.25
"473",19.190001,19.360001,18.57,18.639999,5969900,18.639999
"474",18.870001,18.959999,18.049999,18.299999,5285000,18.299999
"475",18.299999,18.84,18.110001,18.309999,3892000,18.309999
"476",18.4,18.700001,17.809999,18.35,3700400,18.35
"477",17.93,18.940001,17.84,18.4,5324200,18.4
"478",19.17,19.48,18.35,18.42,7359800,18.42
