"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"413",191.220001,194.110001,191.190002,193.179993,435800,182.665642
"414",192,194.369995,191.449997,193.820007,271400,183.270822
"415",194.479996,195.509995,190.339996,190.740005,522600,180.358458
"416",191.839996,194.25,191.830002,193.369995,260500,182.845303
"417",193.649994,196.630005,193.649994,196.309998,416900,185.625287
"418",197.75,203.5,197.75,203.059998,580200,192.0079
"419",201.720001,203.649994,201.720001,202.809998,417300,191.771507
"420",201.990005,204.169998,200.380005,201.850006,421800,190.863766
"421",202,202.240005,200.520004,201.75,324400,190.769203
"422",201.029999,202,198.830002,201.539993,204200,191.196093
"423",199.940002,200.449997,197.699997,200.160004,282600,189.88693
"424",202,209.570007,202,208.460007,528300,197.760941
"425",207.850006,209.899994,207.179993,209.100006,350200,198.368093
"426",209.570007,209.889999,207.570007,207.830002,350300,197.163271
"427",208,209.429993,207.509995,208.880005,210300,198.159383
"428",209.899994,209.899994,207.190002,208.880005,244200,198.159383
"429",209.899994,209.899994,205.979996,206.820007,244200,196.205114
"430",205.350006,207.649994,205.350006,206.339996,149100,195.749739
"431",205.990005,208.070007,205.5,207.970001,161100,197.296085
"432",208.339996,208.570007,206.529999,207.289993,175900,196.650978
"433",205.789993,210.919998,205.600006,210.179993,234600,199.39265
"434",209.860001,212,207.729996,209.039993,205100,198.31116
"435",209.190002,210,207.050003,207.729996,320900,197.068397
"436",208.009995,209.589996,206.699997,207.820007,367500,197.153789
"437",207.839996,208.330002,206.5,208.100006,270200,197.419417
"438",208.110001,209.330002,207.110001,208.960007,210900,198.235279
"439",207.679993,207.720001,204.669998,205.539993,321500,194.990795
"440",206.199997,207.419998,205.919998,206.119995,298800,195.541029
"441",207.979996,209.279999,206.860001,207.559998,344500,196.907124
"442",208.5,213,208.089996,211.770004,363900,200.901055
"443",212.259995,214.690002,211.869995,213.429993,301100,202.475846
"444",214.550003,216.619995,213.399994,216.449997,358600,205.340851
"445",216.080002,217.089996,215.029999,216.110001,283200,205.018304
"446",216.179993,216.770004,213.809998,216.479996,217600,205.36931
"447",216.449997,216.449997,214.089996,214.089996,394800,203.101975
"448",214,214.089996,211.660004,212.679993,366700,201.764339
"449",211.699997,212.679993,209.720001,212.190002,486000,201.299497
"450",212.589996,216,211.949997,214.710007,269100,203.690164
"451",213.710007,214.070007,211.279999,213.610001,307300,202.646615
"452",212.630005,215.419998,210.160004,214.720001,450500,203.699646
"453",216.570007,218.270004,216.110001,218,298300,206.811301
"454",218.259995,221.839996,217.710007,219.360001,435600,208.1015
"455",218.880005,218.880005,214.029999,216.270004,257600,205.170096
"456",215.160004,217.789993,214.259995,217.550003,254600,206.3844
"457",218.039993,218.289993,214.809998,214.809998,327800,203.785023
"458",214.649994,219.070007,213.630005,218.190002,264600,206.991552
"459",218.229996,219.960007,216.75,219.479996,260100,208.215337
"460",218.240005,218.339996,216.179993,217.429993,311500,206.270549
"461",216.470001,217.899994,215.940002,217.270004,175000,206.118772
"462",214.25,214.789993,212.089996,213.800003,162700,202.826866
