"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"469",149.600006,149.850006,148.399994,149,3234800,35.069583
"470",149.100006,150.270004,148.169998,149.139999,2033200,35.102534
"471",149.470001,151.330002,149.160004,151.029999,2401600,35.547376
"472",150.199997,150.339996,147.75,150.119995,2681600,35.333192
"473",150.020004,150.350006,146.520004,147.009995,2654000,34.601203
"474",147.339996,149.880005,147.339996,149.270004,3206400,35.133133
"475",149.929993,154.350006,149.929993,154,5016000,36.246415
"476",154.979996,155.839996,150.440002,154.199997,5447600,36.293487
"477",154.369995,154.889999,151.649994,152.050003,2153200,35.787451
"478",152.710007,154.369995,150.779999,153.320007,3622000,36.086367
"479",153.220001,156.149994,152.759995,155.710007,2136400,36.648893
"480",155.509995,155.75,153.229996,153.570007,1988400,36.145209
"481",152.399994,152.509995,148.240005,148.610001,3434800,34.97779
"482",147.699997,149.300003,147.039993,147.419998,2848000,34.697704
"483",145.25,145.25,138.419998,141.860001,5454000,33.389068
"484",139.970001,141.710007,139.460007,139.970001,4652800,32.944225
"485",141.789993,142.630005,139.160004,139.380005,3604000,32.80536
"486",138.960007,140.699997,138.509995,139.339996,2292400,32.795943
"487",137.639999,139.660004,136.699997,138.880005,3216400,32.687677
"488",138.429993,139.710007,137.279999,137.440002,2914000,32.348749
"489",138.100006,138.970001,136.720001,138,4342800,32.480553
"490",137.850006,138.350006,133.440002,133.960007,4723200,31.529675
"491",134.190002,136.839996,133.5,133.830002,3563200,31.499076
"492",134.470001,137.240005,133.460007,137.100006,3844800,32.268725
"493",137.979996,142.600006,137.979996,139.509995,5102400,32.835955
"494",139.059998,141.169998,136.960007,139.429993,3348000,32.817126
"495",140.360001,143.850006,140.020004,141.610001,2946400,33.330226
"496",141.710007,142.360001,140.089996,141.199997,1939200,33.233725
"497",141.910004,143.690002,140.860001,143.539993,2278800,33.784481
"498",142.130005,142.330002,140.419998,140.820007,1768400,33.144288
"499",140.679993,141.550003,138.559998,141.039993,1903200,33.196066
"500",137.990005,138.770004,133.830002,134.350006,3716000,31.621468
"501",134.559998,136.529999,133.5,136.160004,3016000,32.04748
"502",135.699997,138.360001,135.179993,137.990005,2066000,32.478201
"503",139,139.740005,138.070007,139.520004,2184000,33.010551
"504",140.800003,141,137.910004,139.309998,2198800,32.960863
"505",138.240005,139.759995,137.149994,139.679993,2490800,33.048404
"506",140.809998,140.850006,137.929993,138.059998,1840800,32.665112
"507",138.949997,140.339996,137.660004,139.979996,1927200,33.119385
"508",140,140.869995,137.210007,138.080002,2558000,32.669845
"509",144.820007,144.820007,138.050003,139.75,3147600,33.064968
"510",139.75,141.020004,138.649994,140.910004,3352400,33.339426
"511",140.059998,141.550003,138.919998,141.169998,2331600,33.400941
"512",142.440002,144.509995,141.789993,142.429993,2840400,33.699057
"513",142.399994,143.940002,141,142.5,2893200,33.715621
"514",142.429993,143.259995,139.550003,139.880005,2609600,33.095728
"515",141.25,143.679993,140,143.559998,7518400,33.966417
"516",141.970001,142.440002,139.759995,140.149994,3922000,33.159607
"517",140.880005,141.289993,138.220001,138.649994,2863200,32.804706
"518",138.589996,140.039993,137.070007,138.529999,2094000,32.776315
"519",137.839996,138.130005,132.559998,134,4939200,31.704513
"520",135.919998,137.509995,132.429993,133.449997,9350000,31.574382
"521",132.369995,133.669998,131.339996,131.899994,6530000,31.20765
"522",131.389999,132.779999,129.529999,131.320007,3233600,31.070425
"523",132.25,135.369995,131.479996,134.850006,8004800,31.905626
"524",134.009995,135,133.360001,135,9132400,31.941114
"525",135.110001,135.899994,133.199997,134,4280800,31.704513
"526",138.100006,141.240005,136.5,137.240005,5222400,32.471101
"527",137.309998,137.309998,133.360001,135.690002,4485200,32.104369
"528",134.679993,137.080002,133.710007,136.110001,2910800,32.203741
"529",137.350006,140.270004,136.520004,139.869995,2188800,33.093359
"530",138.830002,140.520004,138.610001,139.199997,1990400,32.934837
"531",139.470001,140.990005,139.470001,140.5,3085600,33.242419
"532",140.050003,143.009995,138.979996,141.809998,3891600,33.552365
"533",145.619995,152.910004,145.229996,152.419998,9735600,36.062701
